std1_r,std1_se,spl_r,spl_se,std2_r,std2_se
0.40734200,0.00001000,0.40639170,0.00001330,0.40731250,0.00000956
0.40731250,0.00000956,0.40639810,0.00000788,0.40735960,0.00001100
0.40735960,0.00001100,0.40642300,0.00001000,0.40741550,0.00001350
0.40741550,0.00001350,0.40650000,0.00001610,0.40741390,0.00001000
0.40741390,0.00001000,0.40654820,0.00001000,0.40745230,0.00000950
0.40745230,0.00000950,0.40659300,0.00000780,0.40749420,0.00001000
0.40749420,0.00001000,0.40664390,0.00001240,0.40754380,0.00001410
0.40754380,0.00001410,0.40663570,0.00000870,0.40756030,0.00001200
0.40756030,0.00001200,0.40662800,0.00000949,0.40755410,0.00001000
0.40752230,0.00001410,0.40658640,0.00001330,0.40754460,0.00001370
0.40754460,0.00001370,0.40662880,0.00001040,0.40755090,0.00001410
0.40762330,0.00001950,0.40670910,0.00001170,0.40762800,0.00000860
0.40762800,0.00000860,0.40675020,0.00002000,0.40760680,0.00001550
