std1_r,std1_se,spl_r,spl_se,std2_r,std2_se
0.40554730,0.00002200,0.40566330,0.00001660,0.40583520,0.00002300
0.40566330,0.00001660,0.40583520,0.00002300,0.40594460,0.00001920
0.40583520,0.00002300,0.40594460,0.00001920,0.40608110,0.00002080
0.40594460,0.00001920,0.40608110,0.00002080,0.40611370,0.00002200
0.40767060,0.00001330,0.40766590,0.00001400,0.40769870,0.00001690
0.40769870,0.00001690,0.40770800,0.00001000,0.40775030,0.00001290
0.40775030,0.00001290,0.40775120,0.00001080,0.40779210,0.00001250
0.40788020,0.00001330,0.40786660,0.00001360,0.40793240,0.00001820
0.40922535,0.00002000,0.40930200,0.00001410,0.40932270,0.00001300
0.40932270,0.00001300,0.40937830,0.00001470,0.40938330,0.00001500
0.40938330,0.00001500,0.40936880,0.00002220,0.40939950,0.00001400
0.40939950,0.00001400,0.40936630,0.00001110,0.40931850,0.00001230
0.40932180,0.00002000,0.40934810,0.00001900,0.40933110,0.00001960
0.40920020,0.00002070,0.40911670,0.00002150,0.40910290,0.00002010
0.40911670,0.00002150,0.40910290,0.00002010,0.40905260,0.00001880
0.40556320,0.00002600,0.40569440,0.00002540,0.40585920,0.00002700
0.40569440,0.00002540,0.40585920,0.00002700,0.40601910,0.00001710
0.40585920,0.00002700,0.40601910,0.00001710,0.40617650,0.00002000
0.40642740,0.00001810,0.40648500,0.00001910,0.40650410,0.00001590
0.40648500,0.00001910,0.40650410,0.00001590,0.40657090,0.00001710
0.40650410,0.00001590,0.40657090,0.00001710,0.40679650,0.00002370
0.40657090,0.00001710,0.40679650,0.00002370,0.40688190,0.00001710
0.40679650,0.00002370,0.40688190,0.00001710,0.40699990,0.00002430
0.40688190,0.00001710,0.40699990,0.00002430,0.40708170,0.00001730
0.40757090,0.00002770,0.40762090,0.00002880,0.40765920,0.00002090
0.40762090,0.00002880,0.40765920,0.00002090,0.40764430,0.00002400
0.40765920,0.00002090,0.40764430,0.00002400,0.40768660,0.00002900
0.40768660,0.00002900,0.40762900,0.00003000,0.40756400,0.00002200
0.40756400,0.00002200,0.40748090,0.00003190,0.40750030,0.00002300
0.40750030,0.00002300,0.40741230,0.00003270,0.40739910,0.00002700
0.40739910,0.00002700,0.40738250,0.00002300,0.40744830,0.00002260
0.40744830,0.00002260,0.40738440,0.00002500,0.40733300,0.00002220
0.40763850,0.00002210,0.40762670,0.00001950,0.40765640,0.00001770
0.40762670,0.00001950,0.40765640,0.00001770,0.40767380,0.00001320
0.40765640,0.00001770,0.40767380,0.00001320,0.40767080,0.00001240
0.40767380,0.00001320,0.40767080,0.00001240,0.40772820,0.00001600
0.40767080,0.00001240,0.40772820,0.00001600,0.40773780,0.00001520
0.40772820,0.00001600,0.40773780,0.00001520,0.40779980,0.00000950
0.40773780,0.00001520,0.40779980,0.00000950,0.40785700,0.00001240
0.40898250,0.00002620,0.40884400,0.00002290,0.40872820,0.00002250
0.40884400,0.00002290,0.40872820,0.00002250,0.40859930,0.00002630
0.40814390,0.00000800,0.40819710,0.00000787,0.40827770,0.00000650
0.40672810,0.00000688,0.40680020,0.00000797,0.40684100,0.00001010
0.40680020,0.00000797,0.40684100,0.00001010,0.40689610,0.00001340
0.40684100,0.00001010,0.40689610,0.00001340,0.40689610,0.00001340
0.40689610,0.00001340,0.40707170,0.00001070,0.40721350,0.00001610
0.40707170,0.00001070,0.40721350,0.00001610,0.40731100,0.00001340
0.40771000,0.00000650,0.40773350,0.00001050,0.40775520,0.00001220
0.40773350,0.00001050,0.40775520,0.00001220,0.40773420,0.00000777
0.40713190,0.00000752,0.40719600,0.00000913,0.40717790,0.00000691
0.40719600,0.00000913,0.40717790,0.00000691,0.40719380,0.00000797
0.40723970,0.00001000,0.40732140,0.00001000,0.40735370,0.00001000
0.40732140,0.00001000,0.40735370,0.00001000,0.40733300,0.00001000
0.40735370,0.00001000,0.40733300,0.00001000,0.40735110,0.00001000
