std1_r,std1_se,spl_r,spl_se,std2_r,std2_se
0.40913960,0.00003020,0.40893570,0.00003440,0.40927500,0.00002910
0.40910550,0.00002620,0.40885660,0.00003380,0.40918440,0.00002290
0.40918440,0.00002290,0.40882710,0.00002980,0.40903000,0.00002330
0.40872820,0.00002250,0.40848180,0.00001150,0.40877690,0.00002010
0.40877690,0.00002010,0.40835810,0.00002300,0.40854970,0.00001850
0.40854970,0.00001850,0.40831170,0.00002070,0.40859930,0.00002630
0.40859930,0.00002630,0.40830530,0.00001730,0.40857880,0.00002310
0.40857880,0.00002310,0.40818630,0.00001740,0.40840910,0.00001200
0.40840910,0.00001200,0.40814080,0.00001900,0.40842930,0.00002180
0.40842930,0.00002180,0.40814030,0.00001470,0.40842790,0.00002350
0.40827770,0.00000650,0.40800480,0.00000530,0.40831000,0.00000650
0.40831000,0.00000650,0.40802850,0.00000800,0.40826590,0.00000500
0.40826590,0.00000500,0.40796700,0.00000900,0.40823160,0.00000870
0.40823160,0.00000870,0.40790980,0.00000700,0.40825090,0.00000725
0.40825090,0.00000725,0.40802570,0.00000750,0.40825420,0.00000720
0.40825420,0.00000720,0.40790750,0.00000770,0.40820270,0.00001000
0.40778910,0.00000777,0.40753960,0.00001150,0.40779620,0.00000895
0.40779620,0.00000895,0.40754050,0.00001110,0.40784320,0.00000639
0.40784320,0.00000639,0.40753950,0.00000889,0.40784830,0.00000838
0.40784830,0.00000838,0.40752290,0.00000766,0.40782470,0.00000896
0.40782470,0.00000896,0.40752160,0.00000978,0.40788660,0.00001410
0.40788660,0.00001410,0.40756040,0.00000689,0.40785030,0.00000808
0.40785030,0.00000808,0.40753530,0.00000846,0.40787510,0.00000623
0.40787510,0.00000623,0.40758160,0.00000749,0.40786610,0.00001000
0.40786610,0.00001000,0.40754930,0.00000747,0.40783490,0.00000861
0.40783490,0.00000861,0.40754080,0.00000869,0.40783010,0.00000985
0.40783010,0.00000985,0.40753610,0.00000927,0.40784500,0.00000779
0.40784500,0.00000779,0.40753730,0.00001030,0.40781580,0.00000825
0.40719380,0.00000797,0.40696160,0.00000787,0.40730480,0.00000910
0.40730480,0.00000910,0.40707900,0.00001040,0.40736410,0.00001070
0.40736410,0.00001070,0.40712750,0.00001080,0.40741960,0.00001290
0.40741960,0.00001290,0.40709630,0.00000666,0.40742070,0.00001150
0.40745630,0.00000761,0.40717870,0.00000771,0.40750230,0.00001050
0.40750230,0.00001050,0.40722850,0.00000909,0.40758020,0.00000700
0.40752420,0.00001180,0.40727400,0.00000852,0.40751580,0.00001000
0.40751580,0.00001000,0.40725240,0.00000690,0.40752780,0.00000897
0.40752780,0.00000897,0.40722400,0.00001110,0.40756690,0.00001063
0.40756690,0.00001063,0.40725970,0.00001160,0.40752070,0.00001300
0.40752070,0.00001300,0.40730310,0.00000860,0.40751090,0.00001090
0.40751090,0.00001090,0.40718590,0.00001040,0.40750390,0.00001280
0.40750390,0.00001280,0.40723620,0.00001430,0.40754850,0.00000840
0.40754850,0.00000840,0.40716670,0.00001250,0.40748330,0.00001490
0.40748330,0.00001490,0.40722310,0.00001230,0.40748560,0.00000999
0.40748560,0.00000999,0.40720480,0.00001390,0.40748060,0.00001080
0.40748060,0.00001080,0.40717230,0.00001320,0.40741340,0.00000886
0.40741340,0.00000886,0.40717020,0.00001210,0.40741750,0.00001240
0.40741750,0.00001240,0.40716900,0.00001230,0.40743260,0.00000998
0.40743260,0.00000998,0.40715950,0.00000923,0.40740500,0.00001030
0.40740500,0.00001030,0.40715920,0.00001300,0.40740210,0.00001490
0.40740210,0.00001490,0.40711108,0.00001050,0.40739470,0.00000990
0.40739470,0.00000990,0.40706680,0.00001180,0.40733840,0.00001090
0.40733840,0.00001090,0.40710880,0.00001120,0.40735150,0.00001450
0.40735150,0.00001450,0.40711620,0.00001610,0.40740320,0.00001030
