std1_r,std1_se,spl_r,spl_se,std2_r,std2_se
0.4065765,0.0000100,0.4066945,0.0000111,0.4065435,0.0000119
0.4065435,0.0000119,0.4066793,0.0000107,0.4066190,0.0000130
0.4066139,0.0000132,0.4066779,0.0000111,0.4065199,0.0000130
0.4065199,0.0000130,0.4065646,0.0000100,0.4064777,0.0000111
0.4064777,0.0000111,0.4065639,0.0000123,0.4064796,0.0000160
0.4064796,0.0000160,0.4065853,0.0000119,0.4064550,0.0000126
0.4064079,0.0000112,0.4064970,0.0000134,0.4064286,0.0000122
0.4064286,0.0000122,0.4063957,0.0000132,0.4063139,0.0000158
0.4063139,0.0000158,0.4064093,0.0000120,0.4063047,0.0000100
0.4063047,0.0000100,0.4063732,0.0000117,0.4062259,0.0000150
0.4062259,0.0000150,0.4063360,0.0000112,0.4062056,0.0000112
0.4060098,0.0000147,0.4060529,0.0000130,0.4059691,0.0000130
0.4059691,0.0000130,0.4060714,0.0000100,0.4059424,0.0000100
0.4059424,0.0000100,0.4060452,0.0000121,0.4059232,0.0000121
0.4077759,0.0000171,0.4079237,0.0000150,0.4079001,0.0000151
0.4079001,0.0000151,0.4080783,0.0000160,0.4080835,0.0000150
0.4080835,0.0000150,0.4082959,0.0000166,0.4082203,0.0000130
0.4082922,0.0000123,0.4084031,0.0000120,0.4082775,0.0000130
0.4082775,0.0000130,0.4083782,0.0000169,0.4083188,0.0000112
0.4083188,0.0000169,0.4085025,0.0000147,0.4084948,0.0000141
0.4085166,0.0000151,0.4086468,0.0000111,0.4085241,0.0000140
0.4085241,0.0000140,0.4087584,0.0000131,0.4086960,0.0000110
0.4088023,0.0000142,0.4090097,0.0000111,0.4089740,0.0000130
0.4089740,0.0000130,0.4090501,0.0000150,0.4089421,0.0000200
0.4088351,0.0000154,0.4089975,0.0000169,0.4088784,0.0000131
