std1_r,std1_se,spl_r,spl_se,std2_r,std2_se
0.4078850,0.0000200,0.4079040,0.0000200,0.4079880,0.0000170
0.4079880,0.0000170,0.4081030,0.0000240,0.4081550,0.0000270
0.4071360,0.0000200,0.4072190,0.0000200,0.4072780,0.0000230
0.4072780,0.0000230,0.4072854,0.0000200,0.4072729,0.0000180
0.4069000,0.0000123,0.4069700,0.0000100,0.4069430,0.0000160
0.4069430,0.0000160,0.4070300,0.0000170,0.4070710,0.0000240
0.4070710,0.0000240,0.4071810,0.0000170,0.4072230,0.0000212
0.4072230,0.0000212,0.4073000,0.0000200,0.4073130,0.0000200
0.4073130,0.0000200,0.4072401,0.0000209,0.4071890,0.0000190
0.4058640,0.0000188,0.4057760,0.0000158,0.4057666,0.0000200
0.4057666,0.0000200,0.4058400,0.0000100,0.4058960,0.0000156
0.4058960,0.0000156,0.4059770,0.0000154,0.4059880,0.0000199
0.4059880,0.0000199,0.4060500,0.0000174,0.4060740,0.0000132
0.4060740,0.0000132,0.4061500,0.0000200,0.4061220,0.0000200
0.4061220,0.0000200,0.4061880,0.0000164,0.4062270,0.0000246
